country,year,PES,PES_AES,Re_M1_annual,A_lambda,B,C,valid
Tunisia,1997,-0.543814638490645,,,0.009224623254829877,,,False
Tunisia,1998,-0.10714212957011045,,,0.009224623254829877,,,False
Tunisia,1999,0.41481379145129704,0.0035266733212519896,0.8501822730901302,0.009224623254829877,0.05675601872086983,16.238708430319953,True
Tunisia,2000,-0.3693559573607872,,,0.009224623254829877,,,False
Tunisia,2001,0.10473545674225618,0.002554342639517405,2.4388518644678228,0.009224623254829877,0.03657440493153808,72.28688579295068,True
Tunisia,2002,-0.21186906903338107,,,0.009224623254829877,,,False
Tunisia,2003,0.4096897955361963,0.0032497407137681306,0.7932198334388376,0.009224623254829877,0.044912009624674114,19.146193255152674,True
Tunisia,2004,0.570135168126234,0.004203380323763373,0.7372603127742332,0.009224623254829877,0.058697615994175605,13.616069370906075,True
Tunisia,2005,-0.4663397371771519,,,0.009224623254829877,,,False
Tunisia,2006,1.064748633829083,0.0036224574724226907,0.3402171514787949,0.009224623254829877,0.04982798556885977,7.401746994178425,True
Tunisia,2007,1.3687775999204768,0.004083866350315964,0.2983586486623706,0.009224623254829877,0.06287652600057786,5.144005863632681,True
Tunisia,2008,0.055382095724197396,0.0027316926682403246,4.932447269319931,0.009224623254829877,0.040654934139214394,131.52265014083773,True
Tunisia,2009,0.3576976357219511,0.001947504957929662,0.5444556417039097,0.009224623254829877,0.029535624099290173,19.983323186862048,True
Tunisia,2010,-1.4470348202673509,,,0.009224623254829877,,,False
Tunisia,2011,0.24968238449277272,-0.0006033178021605558,-0.2416341078231009,0.009224623254829877,-0.007668305169138147,34.159398218366825,True
Tunisia,2012,-0.1035904998398592,,,0.009224623254829877,,,False
Tunisia,2013,0.18055227824758077,0.003316720661434192,1.8369863253047225,0.009224623254829877,0.03877812758476863,51.35354751539523,True
Tunisia,2014,-0.141143686625303,,,0.009224623254829877,,,False
Tunisia,2015,0.16098740979464665,0.0020965477604311896,1.3023054182345795,0.009224623254829877,0.023045764735663624,61.25944887603219,True
Tunisia,2016,0.8423276278783987,0.005108994629678188,0.606532952331909,0.009224623254829877,0.0575600888368322,11.423108635573644,True
Tunisia,2017,-0.2560556165095432,,,0.009224623254829877,,,False
Tunisia,2018,0.12456013190621756,0.0023837717880779933,1.9137518173734405,0.009224623254829877,0.025257941489841073,82.13703569054512,True
Tunisia,2019,-0.0021995459947592995,,,0.009224623254829877,,,False
Tunisia,2020,-0.23855199728960705,,,0.009224623254829877,,,False
Tunisia,2021,-0.16790584283935467,,,0.009224623254829877,,,False
Tunisia,2022,0.4621952951701719,0.0023703773409418133,0.5128518973930887,0.009224623254829877,0.0253787669527385,21.906490663782353,True
Tunisia,2023,0.39621409399407603,0.0003802734017623656,0.09597674780545572,0.009224623254829877,0.0042186607897150424,24.662822948534085,True
Morocco,1991,0.26301523646131186,0.0012911798874539588,0.4909144826839279,0.0025172859358950214,0.06497661474164958,30.01347034570434,True
Morocco,1992,-0.4142727574058144,,,0.0025172859358950214,,,False
Morocco,1993,-0.748901159365847,,,0.0025172859358950214,,,False
Morocco,1994,0.06879753837823316,0.0022412411528398043,3.2577345144501715,0.0025172859358950214,0.09385835071607908,137.88284034013162,True
